source,title,description,content,url,publishedAt
Yahoo Entertainment,"Drone launched at Netanyahu home in northern Israel, spokesman says","JERUSALEM (Reuters) -A drone was launched towards Israeli Prime Minister Benjamin Netanyahu's home in the northern Israeli town of Caesarea on Saturday, his ...","JERUSALEM (Reuters) -A drone was launched towards Israeli Prime Minister Benjamin Netanyahu's home in the northern Israeli town of Caesarea on Saturday, his spokesman said, adding that the premier wa… [+718 chars]",https://www.yahoo.com/news/drone-launched-netanyahu-home-northern-071725640.html,
Al Jazeera English,Netanyahu wants UNIFIL out of Lebanon. Why?,Experts warn a withdrawal will make it impossible to monitor violations of international law.,Prime Minister Benjamin Netanyahu is pushing for the removal of UN peacekeepers as Israel escalates its attacks in southern Lebanon.  Experts believe this is aimed at removing international observers… [+5872 chars],https://www.aljazeera.com/news/2024/10/16/netanyahu-wants-unifil-out-of-lebanon-why,
Al Jazeera English,Israel’s Netanyahu vows Gaza war ‘not over’ after Sinwar’s alleged killing,Israeli leader describes alleged killing of Hamas leader as 'beginning of the end' of yearlong conflict.,"Israeli Prime Minister Benjamin Netanyahu has declared that the war in Gaza is not over following the alleged killing of Hamas leader Yahya Sinwar, even as Western leaders expressed hope that his dea… [+4067 chars]",https://www.aljazeera.com/news/2024/10/18/israels-netanyahu-vows-gaza-war-not-over-after-sinwars-alleged-killing,
Al Jazeera English,Netanyahu says war on Gaza “not over yet” after death of Hamas’s Sinwar,"Israeli Prime Minister Benjamin Netanyahu said that the war on Gaza is ""not over yet"" after the death of Hamas's Sinwar.","NewsFeed  Israeli Prime Minister Benjamin Netanyahu said that despite the death of Hamass leader Yahya Sinwar, the war on Gaza is not over yet.",https://www.aljazeera.com/program/newsfeed/2024/10/17/netanyahu-says-war-on-gaza-not-over-yet-after-death-of-hamass-sinwar,
Al Jazeera English,Have Israel’s wars on Gaza and Lebanon made Netanyahu more popular?,Some opinion polls suggest the Israeli prime minister's approval ratings are rising.,Some opinion polls suggest Israeli prime ministers approval ratings are rising.Israels Prime Minister Benjamin Netanyahu faces international condemnation for his wars on Gaza and Lebanon.  Yet some o… [+421 chars],https://www.aljazeera.com/program/inside-story/2024/10/15/have-israels-wars-on-gaza-and-lebanon-made-netanyahu-more-popular,
[Removed],[Removed],[Removed],[Removed],https://removed.com,
[Removed],[Removed],[Removed],[Removed],https://removed.com,
Democracy Now!,"""Itching for a War"": Biden Deploys U.S. Troops to Israel as Netanyahu Threatens Escalation with Iran","We look at Israel’s threats to launch retaliatory strikes against Iran as fears grow of a broader regional war. We speak to analyst Trita Parsi, executive vice president of the Quincy Institute for Responsible Statecraft, about the Biden administration sendin…",This is viewer supported news. Please do your part today.  Donate  We look at Israel’s threats to launch retaliatory strikes against Iran as fears grow of a broader regional war. We speak to analyst … [+559 chars],https://www.democracynow.org/2024/10/17/iran_israel_escalation,
Democracy Now!,Gideon Levy: Death of Sinwar Won't End Israel's War While U.S. Gives Netanyahu Free Rein in Gaza,"Israel announced Thursday it had killed Hamas leader Yahya Sinwar in Gaza, releasing a video allegedly showing Sinwar’s final moments before his death after Israeli forces in Rafah attacked the building he was in. After the announcement, Israeli Prime Ministe…","This is viewer supported news. Please do your part today.  Donate  Israel announced Thursday it had killed Hamas leader Yahya Sinwar in Gaza, releasing a video allegedly showing Sinwar’s final moment… [+689 chars]",https://www.democracynow.org/2024/10/18/gideon_levy,
RT,Netanyahu rows with Macron over Israel’s origins,Benjamin Netanyahu has taken umbrage at French President Emmanuel Macron for his comments on how Israel was created Read Full Article at RT.com,Israeli Prime Minister Benjamin Netanyahu has hit back at French President Emmanuel Macron after being angered by his remarks about the founding of the Jewish state.  Macron reportedly told French ca… [+2962 chars],https://www.rt.com/news/605776-macron-netanyahu-un-israel/,
RT,Netanyahu approves strikes on Iran – ABC News,"The Israeli prime minister has reportedly signed off on a list of targets for Israel’s response to Tehran’s missile attack, a source claims Read Full Article at RT.com","Israeli Prime Minister Benjamin Netanyahu has reportedly signed off on a list of targets that could be struck in response to Tehran’s missile strikes earlier this month.  On October 1, Iran launched … [+1798 chars]",https://www.rt.com/news/605873-netanyahu-iran-strike-targets/,
RT,Nicaraguan president compares Netanyahu to Hitler,"Nicaraguan President Daniel Ortega has compared the Israeli and Ukrainian leaders to Adolf Hitler, calling both of them Nazis Read Full Article at RT.com","Nicaraguan President Daniel Ortega has slammed Israeli Prime Minister Benjamin Netanyahu and Ukrainian leader Vladimir Zelensky, comparing both politicians to Nazi Germany’s Adolf Hitler.  Ortega mad… [+1510 chars]",https://www.rt.com/news/605752-nicaragua-netanyahu-zelensky-hitler/,
CBS News,Netanyahu says leader's death is the end of Hamas,"Israel announced that Hamas leader Yahya Sinwar was killed in Gaza Thursday. ""Hamas will no longer rule Gaza,"" Israeli Prime Minister Benjamin Netanyahu said. CBS News' Elizabeth Palmer reports on the significance of Sinwar's death.","Watch CBS News  Copyright ©2024 CBS Interactive Inc. All rights reserved.  Get browser notifications for breaking news, live events, and exclusive reporting.  Not NowTurn On",https://www.cbsnews.com/video/netanyahu-leaders-death-end-hamas/,
CBS News,"Netanyahu confirms Yahya Sinwar killing, says war is not over",Prime Minister Benjamin Netanyahu has confirmed the death of Hamas chief Yahya Sinwar in the Gaza Strip as Israel's war continues to escalate there and in Lebanon against Hezbollah. Netanyahu called for members of Hamas to release the remaining Israeli hostag…,"Watch CBS News  Copyright ©2024 CBS Interactive Inc. All rights reserved.  Get browser notifications for breaking news, live events, and exclusive reporting.  Not NowTurn On",https://www.cbsnews.com/video/netanyahu-confirms-yahya-sinwar-killing-says-war-is-not-over/,
NBC News,U.S. says it will be 'watching' as Netanyahu holds emergency meeting on increasing aid to Gaza,"Facing increasing U.S. pressure to ramp up aid into Gaza and warning that Washington would be “watching,” as Israeli Prime Minister Benjamin Netanyahu held an emergency meeting to discuss the matter on Wednesday.","Facing increasing U.S. pressure to ramp up aid into Gaza and warning that Washington would be watching, as Israeli Prime Minister Benjamin Netanyahu held an emergency meeting to discuss the matter on… [+2463 chars]",https://www.nbcnews.com/news/world/israel-gaza-aid-war-hamas-netanyahu-united-nations-starvation-letter-rcna175868,
NBC News,"Sinwar’s killing looks set to boost Netanyahu, the Houdini of Israeli politics","Twelve months ago, Israeli Prime Minister Benjamin Netanyahu had just overseen his country’s worst defense failure ever and faced widespread anger at home and abroad.","Outside of his Cabinet and political base, one charge long leveled against Netanyahu is that he has prioritized his own political survival, playing to his right-wing base by launching wars that sever… [+2311 chars]",https://www.nbcnews.com/news/world/sinwars-killing-boost-netanyahu-israeli-politics-hamas-war-rcna176067,
Yahoo Entertainment,"Netanyahu Agrees to Limit Strike on Iran, Washington Post Reports",,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b0394421-af3d-46f9-a07a-05621dda9ca8,
Yahoo Entertainment,Macron riles Netanyahu with jab on Israel's creation,,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_97e971e3-3440-4d91-a79e-be1eb0e0dc50,
RT,Netanyahu made Iran strikes promise to Biden – WaPo,"Israel has told the US that it will only attack military targets in Iran when it launches its retaliation, The Washington Post has learned Read Full Article at RT.com","Israeli Prime Minister Benjamin Netanyahu has told US President Joe Biden that he intends to strike only military targets in Iran when Israel retaliates for the latest Iranian missile barrage, The Wa… [+2400 chars]",https://www.rt.com/news/605733-netanyahu-biden-iran-strike/,
