sentiment,category,source,title,description,content,url,publishedAt
,,New York Post,Israeli soccer fans in Amsterdam attacked by mob shouting ‘Free Palestine’ — Netanyahu sends planes to evacuate citizens,"Hundreds of fans of the Maccabi Tel Aviv soccer club were targeted as they walked out of the stadium following a Europa League game against a Dutch team, AFC Ajax, the Israeli Embassy to the United States said.","Israeli soccer fans were ambushed and brutally assaulted in Amsterdam overnight Thursday by a mob shouting “Free Palestine,” leading the Jewish states government to send planes to evacuate its citize… [+3723 chars]",https://nypost.com/2024/11/08/world-news/israeli-soccer-fans-ambushed-in-amsterdam-after-europa-league-game-in-netherlands/,
,,Biztoc.com,Netanyahu urges Netherlands to 'act swiftly against rioters',"Israeli Prime Minister Benjamin Netanyahu called on Dutch Prime Minister Dick Schoof and local security forces to ""to act decisively and swiftly"" against apparent pro-Palestinian rioters who...","Israeli Prime Minister Benjamin Netanyahu called on Dutch Prime Minister Dick Schoof and local security forces to ""to act decisively and swiftly"" against apparent pro-Palestinian rioters who...  This… [+59 chars]",https://biztoc.com/x/6b373f26ce00b6b8,
,,Haaretz,"Official: Police aim to limit scope of BibiLeaks probe, distance it from Netanyahu","A senior law enforcement official told Haaretz that tensions exist within the investigation into the leak of classified materials. Police, investigating alongside the Shin Bet, rejected claims, attributing them to a professional disagreement among authorities","A senior law enforcement official told Haaretz that tensions exist within the investigation into the leak of classified materials. Police, investigating alongside the Shin Bet, rejected claims, attri… [+59 chars]",https://www.haaretz.com/israel-news/2024-11-08/ty-article/.premium/official-police-aim-to-limit-scope-of-bibileaks-probe-distance-it-from-netanyahu/00000193-0bcd-dd35-a79f-6bffc4450000,
,,Haaretz,"Netanyahu appoints Yechiel Leiter as Israel's ambassador to U.S. Hardline settler, ex-member of far-right Kahanist group","American immigrant, former member of Meir Kahane's Jewish Defense League, West Bank annexation supporter, senior fellow at Kohelet Policy Forum and first-time diplomat. The pick signals Netanyahu's intention to align with Israel's settler movement in collabor…","American immigrant, former member of Meir Kahane's Jewish Defense League, West Bank annexation supporter, senior fellow at Kohelet Policy Forum and first-time diplomat. The pick signals Netanyahu's i… [+103 chars]",https://www.haaretz.com/israel-news/2024-11-08/ty-article/.premium/netanyahu-picks-yechiel-leiter-as-ambassador-to-u-s-settler-ex-member-of-kahanist-group/00000193-0c1a-d3a2-a3d7-4f5b295d0000,
,,Fox News,"Netanyahu asks Dutch leader for increased security after attacks, IDF plans rescue mission in Amsterdam",Israeli soccer fans were attacked by anti-Israel protesters outside a stadium in Amsterdam. Up to 20 Israelis were injured and seven others are unaccounted for.,Israeli Prime Minister Benjamin Netanyahu on Friday asked his counterpart in the Netherlands to provide more security for Israelis after fans of the Maccabi Tel Aviv FC    soccer team were attacked o… [+2150 chars],https://www.foxnews.com/world/netanyahu-asks-dutch-leader-increased-security-after-attacks-idf-plans-rescue-mission-amsterdam,
,,HuffPost,Looming Trump Presidency Set To Embolden Netanyahu And Hurt Palestinians,"The new U.S. administration is “going to be terrible for any sort of humanitarian effort in Palestine,” a State Department official told HuffPost.","Israeli Prime Minister Benjamin Netanyahu has already celebrated Donald Trumps U.S. presidential election victory this week as historys greatest comeback. And on Friday, Netanyahu signaled what he th… [+12594 chars]",https://www.huffpost.com/entry/netanyahu-trump-election-palestinians_n_672fbaa6e4b052f25adc818f,
,,Haaretz,"In sign of growing strains, Netanyahu not invited to biggest Jewish-American confab of the year","Netanyahu not being invited to address the Jewish Federations of North America is a sign of how divisive a figure he has become in the U.S., even among Jewish organizations that have typically refrained from criticizing the Israeli prime minister and his gove…","For the first time in his many years of serving as prime minister of Israel, Benjamin Netanyahu has not been invited to address the annual conference of the Jewish Federations of North America, which… [+41 chars]",https://www.haaretz.com/israel-news/2024-11-09/ty-article/.premium/in-first-netanyahu-not-invited-to-biggest-jewish-american-confab-of-the-year/00000193-11f6-de12-adbb-93f7bdaf0000,
,,Breitbart News,'Deal of the Century' in the Works: Boulos Reaches Out to Palestinians; Trump Talks to Netanyahu,"President-elect Donald Trump appears serious about achieving Israeli-Palestinian peace -- the so-called ""Deal of the Century"" -- that he pursued during his first term, which resulted in the Abraham Accords but did not bring the Palestinians aboard. The post ‘…","President-elect Donald Trump appears serious about achieving Israeli-Palestinian peace — the so-called “Deal of the Century” — that he pursued during his first term, which resulted in the Abraham Acc… [+3319 chars]",https://www.breitbart.com/middle-east/2024/11/10/deal-of-the-century-in-the-works-boulos-reaches-out-to-palestinians-trump-talks-to-netanyahu/,
,,DW (English),"Middle East: Israel strikes Beirut, after Netanyahu rejects cease-fire","Israel said it targeted a Hezbollah weapons depot in Beirut, after rejecting any 'unilateral' ceasefire plan. Meanwhile, the regional conflict is expected to top the agenda at first EU-Gulf summit. DW has more.","An Israeli strike hit southern Beirut on Wednesday, media sources reported. Israel's army said its jets had hit a Hezbollah underground strategic weapons storage depot.  It was the first strike on th… [+952 chars]",https://www.dw.com/en/middle-east-israel-strikes-beirut-after-netanyahu-rejects-cease-fire/live-70508934,2024-10-16T07:59:00Z
,,DW (English),"Middle East: Israel strikes Beirut, after Netanyahu rejects ceasefire","Israel said it targeted a Hezbollah weapons depot in Beirut, after rejecting any 'unilateral' ceasefire plan. Meanwhile, the regional conflict is expected to top the agenda at first EU-Gulf summit. DW has more.","An Israeli strike hit southern Beirut on Wednesday, media sources reported. Israel's army said its jets had hit a Hezbollah underground strategic weapons storage depot.  It was the first strike on th… [+952 chars]",https://www.dw.com/en/middle-east-israel-strikes-beirut-after-netanyahu-rejects-ceasefire/live-70508934,2024-10-16T07:59:00Z
