category,source,title,description,content,url,publishedAt
,Financial Post,Blinken and Netanyahu Agree Sinwar’s Death Opens Possibilities,The US’s top diplomat and Israel’s Prime Minister Benjamin Netanyahu agreed Tuesday that the killing of Hamas leader Yahya Sinwar opens new possibilities for ending the conflict in the Gaza Strip but gave no indication that a 2 1/2-hour meeting yielded an acc…,The USs top diplomat and Israels Prime Minister Benjamin Netanyahu agreed Tuesday that the killing of Hamas leader Yahya Sinwar opens new possibilities for ending the conflict in the Gaza Strip but g… [+7431 chars],https://financialpost.com/pmn/business-pmn/blinken-and-netanyahu-agree-sinwars-death-opens-possibilities,
,Digital Journal,Trump boasts of near daily conversations with Netanyahu,"Donald Trump boasted on Wednesday of almost daily conversations with Benjamin Netanyahu, saying that he has a very good relationship with the Israeli prime minister. Trump has previously cast himself as Israel’s “protector” and said Netanyahu’s government mus…",Donald Trump reported regular conversations with Israeli Prime Minister Benjamin Netanyahu - Copyright AFP William WEST  Donald Trump boasted on Wednesday of almost daily conversations with Benjamin … [+1009 chars],https://www.digitaljournal.com/world/trump-boasts-of-near-daily-conversations-with-netanyahu/article,
,Biztoc.com,Blinken Seeks To 'Temper' Coming Strike On Iran In 2-Hour Meeting With Netanyahu,"Blinken Seeks To 'Temper' Coming Strike On Iran In 2-Hour Meeting With Netanyahu   US Secretary of State Antony Blinken is in Israel on Tuesday for what is his 11th visit to the region since the start of the Gaza war. He's expected to later travel to Jordan, …",Blinken Seeks To 'Temper' Coming Strike On Iran In 2-Hour Meeting With Netanyahu  US Secretary of State Antony Blinken is in Israel on Tuesday for what is his 11th visit to the region since the start… [+145 chars],https://biztoc.com/x/914dcbd5d7cb866c,
,Haaretz,Blinken: Netanyahu pledged no permanent Israeli presence in Gaza,"Following his visit to Israel, Blinken emphasized that the Biden administration is strongly opposed to any plan to remove the civilian population from northern Gaza. According to Blinken, Israel has increased the amount of aid entering Gaza in response to U.S…","Following his visit to Israel, Blinken emphasized that the Biden administration is strongly opposed to any plan to remove the civilian population from northern Gaza. According to Blinken, Israel has … [+90 chars]",https://www.haaretz.com/israel-news/2024-10-23/ty-article/.premium/blinken-netanyahu-pledged-no-permanent-israeli-presence-in-gaza/00000192-b954-d5f0-a1bf-fb75eb3b0000,
,Haaretz,Hezbollah's drone attack on his home is the latest chance for Netanyahu to play the victim,"The prime minister sees conspiracies against him everywhere. So to him, 'the hostages, soldiers, civilians – they're all pawns in a cynical game,' said someone who knows Bibi well","The hostages are rotting in the tunnels, the residents of the north are exiles in their own country, and soldiers are being killed at a dizzying pace. But of course, Sunday night's cabinet meeting be… [+105 chars]",https://www.haaretz.com/israel-news/2024-10-23/ty-article/.premium/hezbollahs-drone-attack-on-his-home-is-the-latest-chance-for-netanyahu-to-play-the-victim/00000192-b971-dac5-afdb-bf79112d0000,
,Haaretz,"Any sane, responsible leader would try to end the war. Not Netanyahu","When the Israeli prime minister talks about 'revival,' there is only one thing on his mind ■ The idea of resettling the Gaza Strip is well on the way to being normalized ■ Israel's housing minister, the poster boy for parasitism, has set a new world record in…","The Jewish calendar now has two additional commemorative holidays on top of the October 7 date that had been established to mark the Hamas massacre. One is the governmental memorial day, which has be… [+230 chars]",https://www.haaretz.com/israel-news/2024-10-23/ty-article/.premium/any-sane-responsible-leader-would-try-to-end-the-war-not-netanyahu/00000192-b589-dcbd-ab92-b5fbb59f0000,
,Haaretz,Blinken urges Israel to increase humanitarian aid to northern Gaza in meeting with Netanyahu,"After meeting with Netanyahu, the State Department emphasized that Israel must ensure aid 'reaches civilians across Gaza.' Sources say the cabinet is considering coordinating aid convoys with private security services, aiming to resolve the dispute with the U…","After meeting with Netanyahu, the State Department emphasized that Israel must ensure aid 'reaches civilians across Gaza.' Sources say the cabinet is considering coordinating aid convoys with private… [+73 chars]",https://www.haaretz.com/israel-news/2024-10-22/ty-article/.premium/blinken-urges-israel-to-increase-aid-to-northern-gaza-in-meeting-with-netanyahu/00000192-b57d-d542-a9ba-b57f68ef0000,
,Haaretz,"Any sane, responsible leader would try to end the war. Not Netanyahu","When the Israeli prime minister talks about 'revival,' there is only one thing on his mind ■ The idea of resettling the Gaza Strip is well on the way to being normalized ■ Israel's housing minister, the poster boy for parasitism, has set a new world record in…","The Jewish calendar now has two additional commemorative holidays on top of the October 7 date that had been established to mark the Hamas massacre. One is the governmental memorial day, which has be… [+230 chars]",https://www.haaretz.com/israel-news/2024-10-23/ty-article/.premium/any-sane-responsible-leader-would-try-to-end-the-war-not-netanyahu/00000192-b589-dcbd-ab92-b5fbb59f0000,
,Naturalnews.com,JEWS HIDING GENOCIDE: Netanyahu adviser Jordana Cutler appointed as chief of Facebook’s U.S. censorship unit on Israel and Palestine,"It has come to light that the head of Facebook’s censorship division on matters relating to Israel and Palestine is none other than long-time senior Israeli government official and adviser to Benjamin Netanyahu and the Likud party, Jordana Cutler. The Interce…",It has come to light that the head of Facebook's censorship division on matters relating to Israel and Palestine is none other than long-time senior Israeli government official and adviser to Benjami… [+3601 chars],https://www.naturalnews.com/2024-10-24-netanyahu-advisor-jordana-cutler-facebook-censorship-israel.html,
,Digital Journal,Trump boasts of near daily conversations with Netanyahu,"Donald Trump boasted on Wednesday of almost daily conversations with Benjamin Netanyahu, saying that he has a very good relationship with the Israeli prime minister. Trump has previously cast himself as Israel’s “protector” and said Netanyahu’s government mus…",Donald Trump reported regular conversations with Israeli Prime Minister Benjamin Netanyahu - Copyright AFP William WEST  Donald Trump boasted on Wednesday of almost daily conversations with Benjamin … [+1009 chars],https://www.digitaljournal.com/world/trump-boasts-of-near-daily-conversations-with-netanyahu/article,
,Haaretz,Blinken: Netanyahu pledged no permanent Israeli presence in Gaza,"Following his visit to Israel, Blinken emphasized that the Biden administration is strongly opposed to any plan to remove the civilian population from northern Gaza. According to Blinken, Israel has increased the amount of aid entering Gaza in response to U.S…","Following his visit to Israel, Blinken emphasized that the Biden administration is strongly opposed to any plan to remove the civilian population from northern Gaza. According to Blinken, Israel has … [+90 chars]",https://www.haaretz.com/israel-news/2024-10-23/ty-article/.premium/blinken-netanyahu-pledged-no-permanent-israeli-presence-in-gaza/00000192-b954-d5f0-a1bf-fb75eb3b0000,
,Breitbart News,Austin: 'Won't Comment' on if Netanyahu Is Reliable Ally,"During an interview with the Fox News Channel that took place on Tuesday and was released on Wednesday on the “Fox News Rundown” podcast “Evening Edition,” Secretary of Defense Lloyd Austin said that he won’t comment on if Israeli Prime The post Austin: ‘Won’…","During an interview with the Fox News Channel that took place on Tuesday and was released on Wednesday on the “Fox News Rundown” podcast “Evening Edition,” Secretary of Defense Lloyd Austin said that… [+1944 chars]",https://www.breitbart.com/clips/2024/10/24/austin-wont-comment-on-if-netanyahu-is-reliable-ally/,
,Haaretz,Hezbollah's drone attack on his home is the latest chance for Netanyahu to play the victim,"The prime minister sees conspiracies against him everywhere. So to him, 'the hostages, soldiers, civilians – they're all pawns in a cynical game,' said someone who knows Bibi well","The hostages are rotting in the tunnels, the residents of the north are exiles in their own country, and soldiers are being killed at a dizzying pace. But of course, Sunday night's cabinet meeting be… [+105 chars]",https://www.haaretz.com/israel-news/2024-10-23/ty-article/.premium/hezbollahs-drone-attack-on-his-home-is-the-latest-chance-for-netanyahu-to-play-the-victim/00000192-b971-dac5-afdb-bf79112d0000,
