source,title,description,content,url,publishedAt
DW (English),"Middle East: Israel strikes Beirut, after Netanyahu rejects cease-fire","Israel said it targeted a Hezbollah weapons depot in Beirut, after rejecting any 'unilateral' ceasefire plan. Meanwhile, the regional conflict is expected to top the agenda at first EU-Gulf summit. DW has more.","An Israeli strike hit southern Beirut on Wednesday, media sources reported. Israel's army said its jets had hit a Hezbollah underground strategic weapons storage depot.  It was the first strike on th… [+952 chars]",https://www.dw.com/en/middle-east-israel-strikes-beirut-after-netanyahu-rejects-cease-fire/live-70508934,2024-10-16T07:59:00Z
Raw Story,"In clash with Netanyahu, Macron says Israel PM 'mustn't forget his country created by UN","Israeli Prime Minister Benjamin Netanyahu should not forget his country was created as a result of a resolution adopted by the United Nations, French President Emmanuel Macron told cabinet on Tuesday, urging Israel to abide by UN decisions.Tensions have incre…","Israeli Prime Minister Benjamin Netanyahu should not forget his country was created as a result of a resolution adopted by the United Nations, French President Emmanuel Macron told cabinet on Tuesday… [+1410 chars]",https://www.rawstory.com/election-officials-in-u-s-state-of-georgia-must-certify-results-judge/,2024-10-16T11:30:36Z
DW (English),"Middle East: Israel strikes Beirut, after Netanyahu rejects ceasefire","Israel said it targeted a Hezbollah weapons depot in Beirut, after rejecting any 'unilateral' ceasefire plan. Meanwhile, the regional conflict is expected to top the agenda at first EU-Gulf summit. DW has more.","An Israeli strike hit southern Beirut on Wednesday, media sources reported. Israel's army said its jets had hit a Hezbollah underground strategic weapons storage depot.  It was the first strike on th… [+952 chars]",https://www.dw.com/en/middle-east-israel-strikes-beirut-after-netanyahu-rejects-ceasefire/live-70508934,2024-10-16T07:59:00Z
The Jerusalem Post,"Macron: Israel was created by UN, Netanyahu should not forget it","It was not a UN decision that established the State of Israel but the victory that was achieved in the War of Independence with the blood of our heroic fighters, the PMO said in response.","Prime Minister Benjamin Netanyahu should not fail to forget that a UN resolution created Israel, French President Emmanuel Macron said while convening with ministers on Tuesday, according to Le Paris… [+1920 chars]",https://www.jpost.com/israel-news/article-824847,2024-10-16T06:45:31Z
Haaretz,Netanyahu has a plan for putting the Haredi draft issue to bed,"Israeli PM Netanyahu is advancing a compromise that would save his coalition without fixing the existing imbalance in the burden of IDF service. The main obstacle remains Defense Minister Gallant, but sources in Likud say Netanyahu won't hesitate to replace h…",Analysis | Israeli PM Netanyahu is advancing a compromise that would save his coalition without fixing the existing imbalance in the burden of IDF service. The main obstacle remains Defense Minister … [+91 chars],https://www.haaretz.com/israel-news/2024-10-16/ty-article/.premium/netanyahu-has-a-plan-for-putting-the-haredi-draft-issue-to-bed/00000192-9468-d2db-ab97-ddf94bff0000,2024-10-16T11:44:18Z
Haaretz,"'At the UN, I understood that Netanyahu doesn't intend to bring the hostages back. He'd rather have them return in body bags'","Danny Elgarat, whose brother Itzhak Elgarat was abducted from his home in Kibbutz Nir Oz, has been hunger striking for 17 days in an effort to rouse the public to join the battle for the hostages. He fears for his brother's life","Danny Elgarat, whose brother Itzhak Elgarat was kidnapped from his home in Kibbutz Nir Oz, has been on hunger strike for 17 days. Every morning he goes to the high school in Rishon Letzion where he t… [+94 chars]",https://www.haaretz.com/israel-news/2024-10-16/ty-article/.premium/at-the-un-i-understood-that-netanyahu-doesnt-intend-to-bring-the-hostages-back/00000192-92c8-de4f-a1d6-97fe94d30000,2024-10-16T03:01:59Z
Al Jazeera English,Netanyahu wants UNIFIL out of Lebanon. Why?,Experts warn a withdrawal will make it impossible to monitor violations of international law.,Prime Minister Benjamin Netanyahu is pushing for the removal of UN peacekeepers as Israel escalates its attacks in southern Lebanon.  Experts believe this is aimed at removing international observers… [+5872 chars],https://www.aljazeera.com/news/2024/10/16/netanyahu-wants-unifil-out-of-lebanon-why,2024-10-16T12:54:51Z
Al Jazeera English,Netanyahu says war on Gaza “not over yet” after death of Hamas’s Sinwar,"Israeli Prime Minister Benjamin Netanyahu said that the war on Gaza is ""not over yet"" after the death of Hamas's Sinwar.","NewsFeed  Israeli Prime Minister Benjamin Netanyahu said that despite the death of Hamass leader Yahya Sinwar, the war on Gaza is not over yet.",https://www.aljazeera.com/program/newsfeed/2024/10/17/netanyahu-says-war-on-gaza-not-over-yet-after-death-of-hamass-sinwar,2024-10-17T19:22:27Z
Democracy Now!,"""Itching for a War"": Biden Deploys U.S. Troops to Israel as Netanyahu Threatens Escalation with Iran","We look at Israel’s threats to launch retaliatory strikes against Iran as fears grow of a broader regional war. We speak to analyst Trita Parsi, executive vice president of the Quincy Institute for Responsible Statecraft, about the Biden administration sendin…",This is viewer supported news. Please do your part today.  Donate  We look at Israel’s threats to launch retaliatory strikes against Iran as fears grow of a broader regional war. We speak to analyst … [+559 chars],https://www.democracynow.org/2024/10/17/iran_israel_escalation,2024-10-17T12:46:46Z
CBS News,Netanyahu says leader's death is the end of Hamas,"Israel announced that Hamas leader Yahya Sinwar was killed in Gaza Thursday. ""Hamas will no longer rule Gaza,"" Israeli Prime Minister Benjamin Netanyahu said. CBS News' Elizabeth Palmer reports on the significance of Sinwar's death.","Watch CBS News  Copyright ©2024 CBS Interactive Inc. All rights reserved.  Get browser notifications for breaking news, live events, and exclusive reporting.  Not NowTurn On",https://www.cbsnews.com/video/netanyahu-leaders-death-end-hamas/,2024-10-17T23:36:00Z
